Node 3count0,hrs:18,min:29,sec:52 
Node 3count1,hrs:18,min:30,sec:20 
Node 3count2,hrs:18,min:30,sec:30 
Node 3count3,hrs:18,min:30,sec:50 
Node 3count4,hrs:18,min:31,sec:20 
Node 3count6,hrs:18,min:31,sec:50 
Node 3count7,hrs:18,min:32,sec:20 
Node 3count8,hrs:18,min:32,sec:30 
Node 3count9,hrs:18,min:32,sec:50 
Node 3count10,hrs:18,min:33,sec:20 
Node 3count11,hrs:18,min:33,sec:30 
Node 3count12,hrs:18,min:33,sec:50 
Node 3count13,hrs:18,min:34,sec:20 
Node 3count14,hrs:18,min:34,sec:30 
Node 3count15,hrs:18,min:34,sec:50 
Node 3count16,hrs:18,min:35,sec:20 
Node 3count17,hrs:18,min:35,sec:30 
Node 3count18,hrs:18,min:35,sec:50 
Node 3count19,hrs:18,min:36,sec:20 
Node 3count20,hrs:18,min:36,sec:30 
Node 3count21,hrs:18,min:36,sec:50 
Node 3count22,hrs:18,min:37,sec:20 
Node 3count23,hrs:18,min:37,sec:30 
Node 3count24,hrs:18,min:37,sec:50 
Node 3count25,hrs:18,min:38,sec:20 
Node 3count26,hrs:18,min:38,sec:30 
Node 3count27,hrs:18,min:38,sec:50 
Node 3count28,hrs:18,min:39,sec:20 
Node 3count29,hrs:18,min:39,sec:30 
Node 3count30,hrs:18,min:39,sec:50 
Node 3count31,hrs:18,min:40,sec:20 
Node 3count32,hrs:18,min:40,sec:30 
Node 3count33,hrs:18,min:40,sec:50 
Node 3count8,hrs:11,min:49,sec:30,RSSI-57,SNR6.0 
Node 3count13,hrs:11,min:51,sec:20,RSSI-59,SNR6.5 
Node 3count14,hrs:11,min:51,sec:30,RSSI-59,SNR6.5 
Node 3count15,hrs:11,min:51,sec:50,RSSI-55,SNR5.75 
-------------after 12---------------------------
Node 3count0,hrs:12,min:3,sec:50,RSSI-57,SNR5.75 
Node 3count1,hrs:12,min:4,sec:20,RSSI-57,SNR6.25 
Node 3count2,hrs:12,min:4,sec:30,RSSI-57,SNR6.0 
Node 3count3,hrs:12,min:4,sec:50,RSSI-56,SNR6.0 
Node 3count5,hrs:12,min:5,sec:30,RSSI-57,SNR5.5 
Node 3count6,hrs:12,min:5,sec:50,RSSI-57,SNR6.0 
Node 3count7,hrs:12,min:6,sec:20,RSSI-57,SNR5.75 
Node 3count8,hrs:12,min:6,sec:30,RSSI-59,SNR6.5 
Node 3count9,hrs:12,min:6,sec:50,RSSI-59,SNR6.25 
Node 3count10,hrs:12,min:7,sec:20,RSSI-59,SNR7.25 
Node 3count11,hrs:12,min:7,sec:30,RSSI-59,SNR6.5 
Node 3count12,hrs:12,min:7,sec:50,RSSI-57,SNR6.0 
Node 3count13,hrs:12,min:8,sec:20,RSSI-59,SNR6.25 
Node 3count14,hrs:12,min:8,sec:30,RSSI-57,SNR6.5 
Node 3count15,hrs:12,min:8,sec:50,RSSI-59,SNR6.5 
Node 3count16,hrs:12,min:9,sec:20,RSSI-57,SNR6.5 
Node 3count17,hrs:12,min:9,sec:30,RSSI-56,SNR6.0 
Node 3count18,hrs:12,min:9,sec:50,RSSI-56,SNR5.75 
Node 3count19,hrs:12,min:10,sec:20,RSSI-57,SNR6.0 
Node 3count20,hrs:12,min:10,sec:30,RSSI-57,SNR5.75 
Node 3count21,hrs:12,min:10,sec:50,RSSI-57,SNR6.0 
Node 3count22,hrs:12,min:11,sec:20,RSSI-59,SNR6.25 
Node 3count23,hrs:12,min:11,sec:30,RSSI-57,SNR6.0 
Node 3count24,hrs:12,min:11,sec:50,RSSI-57,SNR5.75 
Node 3count25,hrs:12,min:12,sec:20,RSSI-57,SNR5.75 
Node 3count26,hrs:12,min:12,sec:30,RSSI-58,SNR6.0 
Node 3count27,hrs:12,min:12,sec:50,RSSI-57,SNR6.0 
Node 3count28,hrs:12,min:13,sec:20,RSSI-59,SNR6.5 
Node 3count29,hrs:12,min:13,sec:30,RSSI-57,SNR7.0 
Node 3count30,hrs:12,min:13,sec:50,RSSI-58,SNR6.25 
Node 3count31,hrs:12,min:14,sec:20,RSSI-57,SNR6.0 
Node 3count32,hrs:12,min:14,sec:30,RSSI-57,SNR6.0 
Node 3count33,hrs:12,min:14,sec:50,RSSI-57,SNR6.0 
Node 3count34,hrs:12,min:15,sec:20,RSSI-56,SNR6.25 
Node 3count35,hrs:12,min:15,sec:30,RSSI-56,SNR5.75 
Node 3count36,hrs:12,min:15,sec:50,RSSI-56,SNR6.25 
Node 3count37,hrs:12,min:16,sec:20,RSSI-58,SNR6.25 
Node 3count38,hrs:12,min:16,sec:30,RSSI-57,SNR6.25 
Node 3count39,hrs:12,min:16,sec:50,RSSI-56,SNR5.75 
Node 3count40,hrs:12,min:17,sec:20,RSSI-59,SNR6.75 
Node 3count41,hrs:12,min:17,sec:30,RSSI-57,SNR6.0 
Node 3count42,hrs:12,min:17,sec:50,RSSI-57,SNR6.75 
Node 3count43,hrs:12,min:18,sec:20,RSSI-57,SNR5.75 
Node 3count44,hrs:12,min:18,sec:30,RSSI-57,SNR6.25 
Node 3count45,hrs:12,min:18,sec:50,RSSI-57,SNR6.0 
Node 3count46,hrs:12,min:19,sec:20,RSSI-59,SNR6.25 
Node 3count47,hrs:12,min:19,sec:30,RSSI-57,SNR6.25 
Node 3count48,hrs:12,min:19,sec:50,RSSI-56,SNR6.0 
Node 3count49,hrs:12,min:20,sec:20,RSSI-59,SNR6.25 
Node 3count50,hrs:12,min:20,sec:30,RSSI-57,SNR6.0 
